-132.211949855 -4041.98640146	-2430.81514683	-2112.31564314	-2430.81514683	-2112.31564314	-2430.81514683	-2112.31564314	-2430.81514683	-2112.31564314	-2112.31564314
-130.208635494 -4142.73866384	-2491.83793733	-2121.1754261	-2491.83793733	-2121.1754261	-2491.83793733	-2121.1754261	-2491.83793733	-2121.1754261	-2121.1754261
-128.205324276 -4239.1745417	-2555.0302142	-2129.90498636	-2555.0302142	-2129.90498636	-2555.0302142	-2129.90498636	-2555.0302142	-2129.90498636	-2129.90498636
-126.2020162 -4323.24897477	-2619.0107199	-2141.56753491	-2619.0107199	-2141.56753491	-2619.0107199	-2141.56753491	-2619.0107199	-2141.56753491	-2141.56753491
-124.198711269 -4393.40996371	-2685.07565149	-2162.56383177	-2685.07565149	-2162.56383177	-2685.07565149	-2162.56383177	-2685.07565149	-2162.56383177	-2162.56383177
-122.195409484 -4447.0082874	-2743.66575189	-2195.68077907	-2743.66575189	-2195.68077907	-2743.66575189	-2195.68077907	-2743.66575189	-2195.68077907	-2195.68077907
-120.192110846 -4482.06923732	-2785.63400356	-2241.61839928	-2785.63400356	-2241.61839928	-2785.63400356	-2241.61839928	-2785.63400356	-2241.61839928	-2241.61839928
-118.188815357 -4496.38415719	-2809.38334007	-2300.11034171	-2809.38334007	-2300.11034171	-2809.38334007	-2300.11034171	-2809.38334007	-2300.11034171	-2300.11034171
-116.185523016 -4497.27972335	-2813.89454369	-2367.47556624	-2813.89454369	-2367.47556624	-2813.89454369	-2367.47556624	-2813.89454369	-2367.47556624	-2367.47556624
-114.182233827 -4491.89387743	-2804.02399751	-2439.18471126	-2804.02399751	-2439.18471126	-2804.02399751	-2439.18471126	-2804.02399751	-2439.18471126	-2439.18471126
-112.17894779 -4498.2097498	-2789.13681259	-2511.34673284	-2789.13681259	-2511.34673284	-2789.13681259	-2511.34673284	-2789.13681259	-2511.34673284	-2511.34673284
-110.175664907 -4510.56532105	-2778.99906619	-2576.54154977	-2778.99906619	-2576.54154977	-2778.99906619	-2576.54154977	-2778.99906619	-2576.54154977	-2576.54154977
-108.172385178 -4530.45024641	-2788.08833334	-2634.21353888	-2788.08833334	-2634.21353888	-2788.08833334	-2634.21353888	-2788.08833334	-2634.21353888	-2634.21353888
-106.169108606 -4538.95836071	-2818.50578659	-2685.4002039	-2818.50578659	-2685.4002039	-2818.50578659	-2685.4002039	-2818.50578659	-2685.4002039	-2685.4002039
-104.165835191 -4535.67111436	-2869.92393059	-2732.66170121	-2869.92393059	-2732.66170121	-2869.92393059	-2732.66170121	-2869.92393059	-2732.66170121	-2732.66170121
-102.162564934 -4515.31706399	-2925.57301423	-2786.03941483	-2925.57301423	-2786.03941483	-2925.57301423	-2786.03941483	-2925.57301423	-2786.03941483	-2786.03941483
-100.159297838 -4472.11837578	-2979.46456008	-2848.39141148	-2979.46456008	-2848.39141148	-2979.46456008	-2848.39141148	-2979.46456008	-2848.39141148	-2848.39141148
-98.1560339025 -4423.93406987	-3020.28755021	-2901.23666188	-3020.28755021	-2901.23666188	-3020.28755021	-2901.23666188	-3020.28755021	-2901.23666188	-2901.23666188
-96.1527731297 -4387.73516685	-3045.38528522	-2915.5841179	-3045.38528522	-2915.5841179	-3045.38528522	-2915.5841179	-3045.38528522	-2915.5841179	-2915.5841179
